commune;pop
HJAR ENNHAL;9 792
Houara Oulad Raho;31 462
Houderrane;6 414
Hrara;26 103
Hssaine (Arrond.);214 540
H'Ssyia;13 741
Iaazzanene;11 131
Ibdar;5 140
Ibn Yacoub;2 919
Ichamraren;7 023
Ida Ou Aazza;7 923
Ida Ou Gailal;6 436
Ida Ou Gougmar;5 792
Ida Ou Guelloul;5 999
Ida Ou Kazzou;5 182
Ida Ou Moumen;6 105
Ida Ougnidif;2 149
Ida Ougoummad;7 880
Idelsane;8 374
Idmine;3 179
Iferni;6 365
Ifrane (Mun.);14 659
Ifrane Atlas Saghir;11 205
Ighil;5 695
Ighil N'Oumgoun;22 010
Ighoud;22 870
Ighrem N'Ougdal;14 804
Ighzrane;9 626
Igli;11 197
Igoudar Mnabha;8 767
Iguerferouane;11 812
Iguidi;9 100
Ihaddadene;14 345
Ijermaouas;7 540
Ijoukak;6 700
Ikniouen;18 235
Iksane;8 417
Imaouen;2 466
Imgdal;5 467
Imgrade;6 486
Imi Mqourn;10 748
Imi N'Fast;2 465
Imi N'Oulaoune;21 061
Imi N'Tayart;1 164
Imi N'Tlit;8 057
Imider;4 420
Imilchil;8 870
Imilmaiss;6 584
Imindounit;11 363
Imintanoute (Mun.);20 837
Imlil;10 435
Imlili;3 149
Imoulass;8 388
Imouzzer;5 402
Imouzzer Kandar (Mun.);19 125
Imouzzer Marmoucha (Mun.);4 213
Imrabten;8 715
Imsouane;8 866
Imzouren (Mun.);33 852
Inchaden;28 806
Inezgane (Mun.);130 333
Iounane;25 021
Iqaddar;8 759
Irherm (Mun.);4 108
Irigh N'Tahala;1 577
Irohalen;5 854
Isly;6 710
Issafen;3 459
Issaguen;17 095
Isseksi;1 674
Issen;12 119
Itzer;10 613
Izemmouren;5 153
Iznaguen;12 017
Jaafra;10 896
Jabria;19 676
Jahjouh;7 485
Jaidate;12 330
Jamaat Shaim (Mun.);11 251
Jaqma;10 306
Jbabra;18 592
Jbarna;2 730
Jbel Lahbib;3 780
Jbiel;11 376
Jbilate;11 234
Jdiriya;248
Jdour;20 239
Jemaat Moul Blad;5 619
Jerada (Mun.);43 506
Jnan El Ouard (Arrond.);201 011
Jnane Bouih;19 706
Jorf (Mun.);12 302
Jorf El Melha (Mun.);28 681
Jouala;11 168
Jouamaa;7 711
Jraifia;950
Kaf El Ghar;8 104
Kalaat Bouqorra;16 163
Kalaat M'Gouna (Mun.);16 956
Kandar Sidi Khiar;9 323
Karia Ba Mohamed (Mun.);18 762
Kariat Ben Aouda;11 087
Kasba Tadla (Mun.);47 343
Kasbat Ben Mchich;14 905
Kasbat Sidi Abdellah Ben M'Barek;6 196
Kasbat Troch;9 194
Kceibya;27 059
Kechoula;6 083
K‚nitra (Mun.);431 282
Kerrouchen;7 021
Ketama;17 351
Khalfia;15 451
Khatazakane;16 014
Khemis Sidi Yahya;6 673
Kh‚misset (Mun.);131 542
Khemisset Chaouia;5 527
Khenifra (Mun.);117 510
Khlalfa;14 681
Khmis Ksiba;5 665
Khnichet;23 707
Khouribga (Mun.);196 196
Khouzama;7 488
Kissane;13 390
Korimate;9 897
Koudiat Bni Dghough;15 181
Kouzemt;4 103
Kridid;14 351
Krifate;29 214
Ksabi Moulouya;10 614
Ksar Bjir;16 308
Ksar El Kebir (Mun.);126 617
Ksar El Majaz;10 237
Ksar Sghir;12 997
Ktaoua;8 921
Laagagcha;13 748
Laajajra;14 476
Laamamra;12 717
Laamria;10 520
Laanoussar;8 501
Laaouama;8 013
Laaouinate;3 867
Laaounate;17 850
Laatamna;13 996
Laatamna;10 063
Laatatra;17 593
Laattaouia (Mun.);30 315
Laattaouia Ech-chaibia;5 444
Laayoune (Mun.);217 732
Laayoune-Sakia El Hamra;367 758
Labkhati;14 324
Labouirat;2 128
Labrikiyne;11 619
Labyar;546
Lagdadra;6 825
Lagfaf;8 510
Lagfifat;18 811
Laghdir;7 284
Laghdira;19 973
Laghnadra;33 553
Laghnimyine;17 513
Laghoualem;12 219
Lagnadiz;7 227
Lagouira (Mun.);pm
Lahdar;13 870
Lahouaza;7 394
Lahraouyine (Mun.);64 821
Lahsasna;9 315
Lahsinate;5 315
Lakhnafif;9 936
Lakhoualqa;16 375
Lakhsas (Mun.);4 729
Lakhzazra;8 582
Lalla Aaziza;8 448
Lalla Mimouna;29 479
Lalla Takarkoust;7 311
Lamaachate;15 389
Lambarkiyine;8 559
Lamhadi;11 135
Lamhara;11 374
Lamharra;9 477
Lamharza Essahel;17 766
Lamjaara;18 820
Lamnizla;4 224
Lamrabih;20 461
Lamrasla;18 335
Lamrija;14 563
Lamsabih;11 339
Lamssid;572
Lamzoudia;25 674
Laouamra;40 605
Laqraqra;11 419
Laqsabi Tagoust;2 413
Laqsir;32 028
Larache (Mun.);125 008
Layayda (Arrond.);153 361
Lbir Jdid (Mun.);24 136
Lebkhata;2 612
Lehri;9 085
Lgharbia;22 729
Lkheng;14 177
Lmechrek;16 141
Louad Lakhdar;9 303
Louadaine;11 767
Loualidia;18 616
Loudaya;33 767
Loulad (Mun.);6 057
Loulja;15 956
Lounasda;10 639
Louta;4 428
Lqliaa (Mun.);83 235
Maadna;6 227
Maatarka;7 986
Maaziz;11 502
Machraa Ben Abbou;9 355
Machraa El Ain;11 378
Madagh;14 486
Maghraoua;8 204
Majjat;13 258
Majjate;9 074
Majmaa Tolba;12 609
Mallalienne;9 177
Malloussa;12 250
Mansoura;15 820
Marchouch;11 724
Marrakech-M‚dina (Arrond.);120 643
Marrakech-Safi;4 520 569
Martil (Mun.);64 355
Masmouda;16 106
Massa;17 579
Matmata;11 928
Mayate;12 101
Mazguitam;8 087
M'Diq (Mun.);56 227
Mechouar de Casablanca (Mun.);2 645
M‚chouar FŠs Jdid (Mun.);20 560
M‚chouar-Kasba (Mun.);16 860
Mechraa Bel Ksiri (Mun.);31 497
Mechraa Hammadi;5 646
Mediouna (Mun.);22 442
Mehdya (Mun.);28 636
Mejji;6 750
Meknassa Acharqia;6 020
Meknassa Al Gharbia;3 890
MeknŠs (Mun.);520 428
Melaab;17 360
Melg El Ouidane;8 176
Mellila;15 081
M‚nara (Arrond.);411 094
Mers El Kheir;20 617
Mers-Sultan (Arrond.);129 759
Meskala;4 330
Meskoura;7 180
Messassa;9 501
Mestegmer;6 469
Mestferki;4 378
Mesti;2 931
Metrane;10 580
Mettouh;25 856
Mezguita;8 451
Mezraoua;8 317
M'Fassis;5 411
M'Garto;8 514
M'Hajer;9 386
M'Hamid El Ghizlane;7 590
M'haya;26 395
Mibladen;3 084
Midar (Mun.);15 021
Midelt (Mun.);55 304
Mijik;pm
Mikkes;6 089
Mirleft;8 162
Missour (Mun.);25 584
Mkansa;23 155
M'Khalif;5 387
M'Nabha;12 893
Mnasra;34 429
Mniaa;11 789
Mograne;31 292
Mogress;15 705
Moha Ou Hammou Zayani;9 286
Mohammadia (Mun.);208 612
Moqrisset;10 545
Moualine El Oued;9 129
Mouarid;6 161
Moul El Bergui;15 342
Moulay Abdelkader;7 896
Moulay Abdelkrim;7 392
Moulay Ahmed Cherif;9 765
Moulay Aissa Ben Driss;13 797
Moulay Ali Cherif (Mun.);22 209
Moulay Bouazza;8 490
Moulay Bouchta;14 347
Moulay Bousselham;26 608
Moulay Bouzarqtoune;6 069
Moulay Brahim;11 813
Moulay Driss Aghbal;5 043
Moulay Driss Zerhoun (Mun.);11 615
Moulay Rachid (Arrond.);245 484
Moulay Yacoub (Mun.);4 612
M'qam Tolba;13 503
M'Ramer;7 587
MRhassiyine;8 001
Mrija;3 359
M'Rirt (Mun.);42 730
Mrizigue;8 376
M'saada;19 853
M'Semrir;8 866
Msied;1 275
Msila;8 356
M'Ssici;6 174
M'Tal;9 913
Mtalssa;16 787
Mtarnagha;4 554
M'tioua;12 812
My Abdellah;74 671
Mzamza Janoubia;20 802
Mzefroune;6 973
M'Zem Sanhaja;10 310
Mzilate;4 209
M'Zizel;7 388
M'Zouda;23 148
Mzoura;9 525
Nador (Mun.);161 726
Nagga;22 542
Naima (Mun.);1 088
Naour;5 999
Nekkour;8 963
Nfifa;6 463
Nihit;1 883
N'Khila;12 306
N'Kob;7 209
Nouaceur (Mun.);23 802
Nouirate;24 805
N'zalat Bni Amar;8 350
Nzalat Laadam;14 838
Oriental;2 314 346
Ouad Essafa;56 547
Ouad L'bour;5 944
Ouahat Sidi Brahim;25 320
Ouaklim;11 338
Oualili;9 735
Oualqadi;2 146
Ouaouizeght;14 570
Ouaoula;24 790
Ouaoumana;8 849
Ouaouzgane;16 772
Ouardana;7 120
Ouargui;10 384
Ouartzagh;14 381
Ouarzazate (Mun.);71 067
Ouazguita;5 440
Oudka;8 494
Oued Amlil (Mun.);10 405
Oued El Makhazine;7 266
Oued Ifrane;10 805
Oued Jdida;14 935
Oued Jemaa;9 190
Oued Laou (Mun.);9 665
Oued Malha;13 639
Oued Naam;5 340
Oued Naanaa;6 991
Oued Zem (Mun.);95 267
Ouezzane (Mun.);59 606
Ouijjane;4 938
Ouirgane;7 727
Ouislane (Mun.);87 910
Ouisselsate;14 196
Ouizeght;5 743
Oujda (Mun.);494 252
Oukaimden;4 861
Oulad Aamer;7 015
Oulad Aamer Tizmarine;5 150
Oulad Aarrad;5 606
Oulad Abbou (Mun.);11 299
Oulad Abdoune;13 574
Oulad Aissa;5 845
Oulad Aissa;23 370
Oulad Aissa;12 331
Oulad Ali Mansour;5 306
Oulad Ali Toualaa;5 504
Oulad Ali Youssef;5 212
Oulad Amer;6 673
Oulad Amghar;6 010
Oulad Amrane;12 252
Oulad Ayyad;9 566
Oulad Azzouz;9 815
Oulad Azzouz;40 372
Oulad Berhil (Mun.);24 288
Oulad Bouali Loued;6 822
Oulad Bouali Nouaja;6 507
Oulad Boubker;8 054
Oulad Boughadi;8 648
Oulad Bourima;1 486
Oulad Boussaken;7 390
Oulad Chbana;8 081
Oulad Cherki;7 399
Oulad Chrif;9 237
Oulad Dahou;14 587
Oulad Daoud;11 978
Oulad Daoud Zkhanine;3 940
Oulad El Garne;8 150
Oulad Fares;12 341
Oulad Fares El Halla;3 021
Oulad Fennane;7 575
Oulad Freiha;11 581
Oulad Ftata;2 625
Oulad Ghziyel;7 522
Oulad Gouaouch;2 709
Oulad Hamdane;11 577
Oulad Hassoune;23 475
Oulad Hassoune Hamri;7 662
Oulad Imloul;9 614
Oulad Khallouf;8 605
Oulad Massaoud;5 011
Oulad M'Hamed;10 187
Oulad M'hammed;1 310
Oulad Mimoun;9 372
Oulad Mkoudou;6 667
Oulad Moumna;7 513
Oulad M'Rabet;3 996
Oulad M'Rah (Mun.);8 697
Oulad Msabbel;6 254
Oulad Mtaa;6 937
Oulad Nouel;11 371
Oulad Ouchih;12 608
Oulad Rahmoune;28 449
Oulad Said;9 271
Oulad Salah;15 031
Oulad Sbaita;25 650
Oulad Sbih;6 616
Oulad Settout;23 218
Oulad Sghir;13 866
Oulad Si Bouhya;18 198
Oulad Sidi Abdelhakem;2 207
Oulad Sidi Ali Ben Youssef;10 032
Oulad Tayeb;24 594
Oulad Teima (Mun.);89 387
Oulad Yaacoub;7 143
Oulad Yahia Lagraire;12 019
Oulad Yahya Louta;9 430
Oulad Zarrad;12 233
Oulad Zbair;17 747
Oulad Ziyane;17 095
Ouled Ayad (Mun.);23 818
Ouled Ben Hammadi;12 778
Ouled Bourahmoune;15 113
Ouled Cebbah;7 606
Ouled Dlim;14 716
Ouled Frej;19 752
Ouled Ghanem;24 775
Ouled Gnaou;12 720
Ouled Hcine;32 130
Ouled H'Cine;30 215
Ouled M'Barek;19 774
Ouled Nacer;28 438
Ouled Said L'Oued;14 351
Ouled Salmane;16 979
Ouled Slama;19 488
Ouled Yaich;27 476
Ouled Youssef;14 596
Ouled Zidane;6 434
Ouled Zmam;33 652
Oulmes;18 786
Oum Dreyga;3 146
Oum El Guerdane;3 370
Oum Rabia;9 555
Oumazza;6 197
Ounagha;12 461
Ouneine;7 866
Ounnana;12 801
Ourika;37 316
Outabouabane;9 856
Outat El Haj (Mun.);16 388
Outerbat;6 819
Ouzioua;7 692
Pr‚fecture d?Arrondissement  A‹n Chock;377 744
Pr‚fecture d?Arrondissement  Hay Hassani;468 542
Pr‚fecture d?Arrondissements A‹n Sebaƒ-Hay Mohammadi;425 916
Pr‚fecture d?Arrondissements Al Fida-Mers Sultan;288 426
Pr‚fecture d?Arrondissements Ben M?sick;248 138
Pr‚fecture d?Arrondissements Casablanca Anfa;454 908
Pr‚fecture d?Arrondissements Moulay Rachid;465 531
Pr‚fecture d?Arrondissements Sidi Bernoussi;627 968
Pr‚fecture: Agadir-Ida -Ou-Tanane;600 599
Pr‚fecture: Casablanca;3 359 818
Pr‚fecture: FŠs;1 150 131
Pr‚fecture: Inezgane- Ait Melloul;541 118
Pr‚fecture: Marrakech;1 330 468
Pr‚fecture: M'Diq-Fnideq;209 897
Pr‚fecture: MeknŠs;835 695
Pr‚fecture: Mohammadia;404 648
Pr‚fecture: Oujda-Angad;551 767
Pr‚fecture: Rabat;577 827
Pr‚fecture: Sal‚;982 163
Pr‚fecture: Skhirate- T‚mara;574 543
Pr‚fecture: Tanger-Assilah;1 065 601
Province: Al  Haouz;573 128
Province: Al Hoceima;399 654
Province: Aousserd;16 190
Province: Assa-Zag;44 124
Province: Azilal;554 001
Province: B‚ni Mellal;550 678
Province: Benslimane;233 123
Province: Berkane;289 137
Province: Berrechid;484 518
Province: Boujdour;50 566
Province: Boulemane;197 596
Province: Chefchaouen;457 432
Province: Chichaoua;369 955
Province: Chtouka- Ait Baha;371 102
Province: Driouch;211 059
Province: El  Hajeb;247 016
Province: El Jadida;786 716
Province: El Kelƒa des  Sraghna;537 488
Province: Errachidia;418 451
Province: Essaouira;450 527
Province: Es-Semara;66 014
Province: Fahs-Anjra        ;76 447
Province: Figuig;138 325
Province: Fquih Ben Salah;502 827
Province: Guelmim;187 808
Province: Guercif;216 717
Province: Ifrane;155 221
Province: Jerada;108 727
Province: K‚nitra;1 061 435
Province: Kh‚misset;542 221
Province: Kh‚nifra;371 145
Province: Khouribga;542 125
Province: Laƒyoune;238 096
Province: Larache;496 687
Province: M‚diouna;172 680
Province: Midelt;289 337
Province: Moulay Yacoub;174 079
Province: Nador;565 426
Province: Nouaceur;333 604
Province: Ouarzazate;297 502
Province: Oued Ed-Dahab;126 765
Province: Ouezzane;300 637
Province: Rehamna;315 077
Province: Safi;691 983
Province: Sefrou;286 489
Province: Settat;634 184
Province: Sidi Bennour;452 448
Province: Sidi Ifni;115 691
Province: Sidi Kacem;522 270
Province: Sidi Slimane;320 407
Province: Tan-Tan;86 134
Province: Taounate;662 246
Province: Taourirt;233 188
Province: Tarfaya;13 082
Province: Taroudannt;838 820
Province: Tata;117 841
Province: Taza;528 419
Province: T‚touan;550 374
Province: Tinghir;322 412
Province: Tiznit;207 367
Province: Youssoufia;251 943
Province: Zagora;307 306
Rabat-Sal‚-K‚nitra;4 580 866
Rahhala;5 691
Ras Ain Rhamna;14 284
Ras Asfour;1 274
Ras El Ain;19 614
Ras El Ain Chaouia;14 747
Ras El Ma (Mun.);7 580
Ras El Oued;15 778
Ras Ijerri;6 502
Ras Laksar;10 515
Ras Tabouda;6 388
Rass Oumlil;1 172
Ratba;16 825
Rbaa El Fouki;7 144
Rdadna Oulad Malek;4 561
Reggada;13 284
Rfala;9 749
Rghioua;4 218
Rhouazi;18 081
Riah;8 373
Ribate El Kheir (Mun.);16 739
Rima;8 949
Rislane;4 265
Rissana Chamalia;12 484
Rissana Janoubia;16 366
Rmilat;16 861
Rommani (Mun.);12 297
Rouached;4 484
Rouadi;7 131
Saada;67 086
Saadla;16 633
Sabaa Aiyoun (Mun.);26 277
Sabbah;15 029
Saddina;6 670
Safi (Mun.);308 508
Sahel;17 496
Sahel Chamali;5 358
Sahel Oulad H'Riz;38 156
Sahtryine;8 036
Saidate;6 427
Saidia (Mun.);8 780
Saiss (Arrond.);207 345
Saka;21 048
Saniat Berguig;28 854
Sbata (Arrond.);116 255
Sbouya;3 944
Sebaa Rouadi;23 519
Sebt Ait Rahou;9 245
Sebt Azzinate;5 153
Sebt Ennabour;7 222
Sebt Gzoula (Mun.);18 543
Sebt Loudaya;12 423
Sebt Saiss;10 488
Sefrou (Mun.);79 887
Sefsaf;25 075
Selfat;10 239
Selouane (Mun.);21 570
Semguet;8 990
Senada;9 176
Serghina;3 746
Settat (Mun.);142 250
Sfafaa;21 475
Sfassif;7 685
Sgamna;10 245
Shoul;19 915
Si Hsaien Ben Abderrahmane;5 990
Sid L'Mokhtar;22 714
Sid Zouine;14 954
Sidi Aayad;8 629
Sidi Abdallah;10 481
Sidi Abdallah Al Khayat;11 227
Sidi Abdallah Ghiat;29 498
Sidi AbdallahEl Bouchouari;8 128
Sidi AbdallahOu Belaid;4 702
Sidi Abdeljalil;6 618
Sidi Abdelkhaleq;6 122
Sidi Abdelkrim;14 037
Sidi Abdellah Ou Said;3 463
Sidi Abdelmoumen;9 007
Sidi Abderrazak;13 464
Sidi Abed;22 980
Sidi Ahmed Benaissa;7 810
Sidi Ahmed Cherif;9 576
Sidi Ahmed El Khadir;9 687
Sidi Ahmed Essayeh;6 198
Sidi Ahmed Laaroussi;269
Sidi Ahmed Ou Abdallah;3 833
Sidi Ahmed Ou Amar;15 982
Sidi Ahmed Ou Moussa;3 679
Sidi Aissa;10 266
Sidi Aissa Ben Ali;25 563
Sidi Aissa Ben Slimane;19 977
Sidi Aissa Regragui;7 873
Sidi Al Kamel;30 199
Sidi Ali;2 162
Sidi Ali Bel Quassem;14 984
Sidi Ali Ben Hamdouche;35 182
Sidi Ali Bourakba;8 083
Sidi Ali El Korati;6 546
Sidi Ali Labrahla;6 618
Sidi Allal El Bahraoui (Mun.);15 866
Sidi Allal Lamsadder;7 366
Sidi Allal Tazi;18 055
Sidi Amar;2 175
Sidi Ameur Al Hadi;11 814
Sidi Azzouz;14 356
Sidi Badhaj;5 394
Sidi Belyout (Arrond.);189 715
Sidi Bennour (Mun.);55 815
Sidi Bernoussi (Arrond.);173 189
Sidi Bettache;6 927
Sidi Bibi;39 042
Sidi Boaal;3 019
Sidi Borja;10 000
Sidi Bou Othmane (Mun.);9 181
Sidi Bouabdelli;5 758
Sidi Boubker;2 638
Sidi Boubker;6 145
Sidi Boubker El Haj;19 327
Sidi Bouhria;4 525
Sidi Bouknadel (Mun.);25 255
Sidi Boulaalam;8 142
Sidi Boulenouar;3 452
Sidi Boulkhalf;15 625
Sidi Boumehdi;5 081
Sidi Boumoussa;16 894
Sidi Bousber;10 528
Sidi Boushab;9 488
Sidi Boutayeb;9 823
Sidi Boutmim;9 988
Sidi Bouzid Arragragui;8 971
Sidi Bouzineb;3 711
Sidi Chiker;20 658
Sidi Dahbi;8 703
Sidi Dahmane;11 955
Sidi Daoud;12 771
Sidi El Abed;12 505
Sidi El Aidi;13 839
Sidi El Ghandour;7 377
Sidi El Hattab;9 421
Sidi El Jazouli;6 462
Sidi El Makhfi;16 709
Sidi El Mekki;8 920
Sidi Ettiji;16 649
Sidi Ghanem;9 326
Sidi Ghanem;10 099
Sidi Ghaneme;4 718
Sidi Haj M'hamed;9 326
Sidi Hajjaj;20 732
Sidi Hajjaj Oued Hassar;20 349
Sidi Hammadi;14 227
Sidi Harazem;5 622
Sidi Hcine;2 986
Sidi Hmad Ou Hamed;4 034
Sidi H'Mad Ou M'Barek;5 482
Sidi Hsaine;7 418
Sidi H'Saine Ou Ali;6 064
Sidi Ifni (Mun.);21 618
Sidi Ishaq;9 773
Sidi Jaber;20 432
Sidi Kacem (Mun.);75 672
Sidi Kaouki;4 625
Sidi Laaroussi;12 357
Sidi Lahsen;9 259
Sidi Lamine;16 808
Sidi Lyamani;10 365
Sidi Mansour;5 488
Sidi M'Bark;6 110
Sidi M'Hamed Akhdim;10 817
Sidi M'Hamed Chelh;7 737
Sidi M'Hamed Dalil;5 684
Sidi M'Hamed Ou Marzouq;5 341
Sidi M'HamedBen Lahcen;18 820
Sidi Mohamed Ben Mansour;19 237
Sidi Mohamed Lahmar;42 637
Sidi Mohammed Ben Rahal;10 410
Sidi Mokhfi;8 705
Sidi Moumen (Arrond.);454 779
Sidi Moussa;9 704
Sidi Moussa Ben Ali;11 445
Sidi Moussa Lemhaya;4 094
Sidi Moussa Lhamri;14 976
Sidi Moussa Majdoub;20 330
Sidi Mzal;1 701
Sidi Othmane (Arrond.);220 047
Sidi Ouaaziz;8 320
Sidi Ouassay;9 087
Sidi Rahal Chatai (Mun.);20 628
Sidi Rahhal (Mun.);9 906
Sidi Redouane;19 169
Sidi Slimane (Mun.);92 989
Sidi Slimane Echcharraa (Mun.);30 202
Sidi Slimane Moul Al Kifane;19 151
Sidi Smail;28 733
Sidi Taibi;53 449
Sidi Yacoub;17 054
Sidi Yahya El Gharb (Mun.);37 979
Sidi Yahya Ou Saad;7 051
Sidi Yahya Ou Youssef;4 637
Sidi Yahya Zaer;57 790
Sidi YahyaBni Zeroual;15 452
Sidi Youssef Ben Ali (Arrond.);122 889
Sidi YoussefBen Ahmed;12 362
Siroua;9 678
Skhirate (Mun.);59 775
Skhour Rehamna;15 479
Skoura Ahl El Oust;24 055
Skoura Lhadra;8 865
Skoura M'Daz;8 462
Smi…;7 435
Smimou;8 026
Souaken;12 632
Soualem Trifiya;33 079
Souihla;28 164
Souissi (Arrond.);23 366
Souk El Arbaa (Mun.);69 265
Souk Kdim;7 823
Souk Lakhmis Dades;17 045
Souk L'Qolla;14 965
Souk Sebt Ouled Nemma (Mun.);60 076
Souk Tlet El Gharb;22 554
Souk Tolba;13 049
Sour El Aaz;3 850
Souss-Massa;2 676 847
Steha;12 034
Sti Fadma;24 129
Tabant;14 963
Tabaroucht;3 830
Tabia;7 849
Tabia;1 460
Tabouda;16 618
Tabriquet (Arrond.);252 277
Tachraft;3 636
Taddart;22 138
Tadighoust;6 243
Tadrart;4 530
Tafajight;1 697
Tafedna;5 617
Tafersit;9 133
Tafetachte;7 293
Tafingoult;6 635
Tafoughalt;2 735
Tafrant;14 246
Tafraout (Mun.);6 345
Tafraout El Mouloud;3 200
Tafraouten;7 999
Taftechna;5 258
Tagante;3 630
Taghazout;5 260
Taghbalte;10 054
Taghjijt;9 988
Taghramt;8 706
Taghzirt;19 936
Taghzout;5 132
Taghzoute N'Ait Atta;14 669
Tagleft;14 423
Tagmout;4 581
Tagounite;17 103
Tah;1 516
Tahannaout (Mun.);12 102
Tahelouante;3 919
Tahla (Mun.);27 729
Taifa;6 992
Tainaste;11 530
Takate;10 968
Takoucht;4 312
Talambote;8 481
Talat N'Yaaqoub;7 866
Talgjount;5 816
Talilit;5 208
Taliouine (Mun.);6 727
Taliouine Assaka;1 125
Talmakante;4 004
Talmest (Mun.);4 328
Talsint;16 166
Talzemt;3 160
Tamaguert;10 540
Tamallalt (Mun.);16 539
Tamaloukte;4 739
Tamanar (Mun.);10 584
Tamanarte;6 198
Tamazouzte;15 846
Tamchachate;3 836
Tamda;9 750
Tamda Noumercid;11 922
Tamedit;14 669
Tamegroute;21 603
Tameslohte;28 978
Tamezmoute;11 697
Tamorot;26 748
Tamri;18 577
Tamsaout;13 711
Tan Tan (Mun.);73 209
Tanalt;2 744
Tanant;10 706
Tanaqoub;9 236
Tancherfi;6 433
Tangarfa;4 706
Tanger-M‚dina (Arrond.);243 082
Tanougha;12 783
Tanourdi;2 872
Tansifte;11 987
Taoughilt;14 764
Taouloukoult;10 682
Taounate (Mun.);37 616
Taounza;11 488
Taourirt (Mun.);103 398
Taouyalte;7 465
Taouzint;5 651
Tarfaya (Mun.);8 027
Targa Wassay;857
Targante;7 605
Targua Ntouchka;4 877
Targuist (Mun.);13 390
Tarmigt;40 184
Taroudannt (Mun.);80 149
Tarsouat;2 375
Tassegdelt;5 107
Tassift;7 363
Tassoultante;71 172
Tassousfi;6 724
Tassrirt;1 554
Tata (Mun.);18 611
Tataoute;4 743
Tatoft;9 527
Taza (Mun.);148 456
Tazaghine;4 323
Tazarine;2 623
Tazarine;15 169
Tazart;15 243
Tazemmourt;6 073
Taznakht (Mun.);7 281
Tazouta;6 227
Tazroute;5 974
Tekna;7 068
Telouet;14 060
T‚mara (Mun.);313 510
Temsamane;13 920
Temsia;40 780
Tendrara;15 390
Ternata;16 512
Teroual;12 621
T‚touan (Mun.);380 787
Thar Es-souk (Mun.);5 182
Tichla;5 743
Tiddas;10 047
Tidili Fetouaka;12 759
Tidili Mesfioua;21 706
Tidli;15 285
Tidsi Nissendalene;5 424
Tidzi;4 057
Tifariti;55
Tifarouine;4 231
Tiffert N'Ait Hamza;3 499
Tiflet (Mun.);86 709
Tifni;11 760
Tighassaline;15 204
Tighedouine;22 971
Tighirt;6 606
Tighmi;6 396
Tiglit;930
Tigouga;4 553
Tigrigra;11 031
Tigzmerte;3 916
Tilemzoun;1 015
Tilmi;11 372
Tilougguite;10 544
Timahdite;10 945
Timezgadiouine;7 825
Timezgana;16 172
Timizguida-Ouftas;5 189
Timlilt;7 078
Timoulay;5 325
Timoulilt;6 616
Tindine;2 932
Tinejdad (Mun.);8 942
Tinghir (Mun.);42 044
Tinzart;5 902
Tinzouline;15 505
Tioughza;10 577
Tiouli;5 199
Tiout;2 920
Tiqqi;8 773
Tisfane;2 338
Tisqi;6 147
Tisrasse;7 656
Tissa (Mun.);11 195
Tissaf;10 191
Tissint;9 434
Tit Mellil (Mun.);32 782
Tizaghte;3 920
Tizgane;12 773
Tizguine;4 899
Tizguite;10 693
Tizgzaouine;5 272
Tizi N'Ghachou;2 557
Tizi N'Isly;11 918
Tizi Ntakoucht;1 368
Tizi N'Test;5 182
Tizi Ouasli;6 639
Tiznit (Mun.);74 699
Tizoughrane;4 769
Tizounine;2 119
Tiztoutine;9 788
Tlauh;9 932
Tlite;4 326
Tnine Aday;1 903
Tnine Aglou;10 240
Tnine Amellou;3 674
Toualet;11 976
Touama;11 243
Touarga (Mun.);3 932
Toubkal;8 489
Toudgha El Oulia;5 476
Toudgha Essoufla;15 347
Toufelaazt;1 614
Toughmart;6 746
Touissit (Mun.);3 137
Touizgui;5 022
Toulal (Mun.);19 077
Toumliline;2 131
Toundoute;10 606
Tounfite;13 297
Traiba;6 672
Trougout;11 458
Tsaft;9 578
Yacoub El Mansour (Arrond.);194 532
Youssoufia (Mun.);67 628
Zaaroura;10 137
Zag (Mun.);12 763
Zaggota;10 032
Zagmouzen;8 221
Zagora (Mun.);40 067
Zaida;13 181
Zaio (Mun.);35 806
Zaitoune;10 481
Zaouia Annahlia;10 757
Zaouia Sidi Tahar;11 677
Zaouiat Ahansal;10 657
Zaouiat Ben Hmida;6 922
Zaouiat Cheikh (Mun.);25 388
Zaouiat Lakouacem;10 967
Zaouiat Saiss;11 160
Zaouiat Sidi Abdelkader;5 452
Zaouiat Sidi Ben Hamdoun;9 521
Zaouiat Sidi Hamza;5 454
Zaouiat Sidi Kacem;11 537
Zarkt;6 691
Zeghanghane (Mun.);34 025
Zegzel;16 137
Zemamra (Mun.);13 279
Zemrane;14 338
Zemrane Charqia;29 087
Zerkten;19 926
Zghira;15 503
Ziaida;14 581
Zinat;7 669
Zirara;16 606
Znada;6 712
Zouada;23 223
Zouagha (Arrond.);260 663
Zoug;pm
Zoumi;40 661
Zrarda;9 249
Zrizer;7 922
