commune;pop
Agadir (Mun.);421 844
Agadir Melloul;8 848
Agafay;15 452
Agdal (Arrond.);142 407
Agdal Riyad (Arrond.);77 257
Agdz (Mun.);10 681
Aghbal;14 908
Aghbala;12 781
Aghbalou;9 547
Aghbalou Aqorar;9 715
Aghbalou N'Kerdous;10 313
Aghbar;5 182
Aghouatim;30 776
Aghouinite;pm
Aglif;8 028
Agoudi N'Lkhair;11 752
Agoudim;4 113
Agourai (Mun.);16 651
Aguelmam Azegza;7 684
Aguelmous;35 626
Aguerd;5 378
Aguinane;2 801
Ahdil;11 438
Ahfir (Mun.);19 630
Ahl Angad;14 196
Ahl Oued Za;11 931
Ahl Ramel;8 132
Ahl Sidi Lahcen;4 287
Ahl Tifnoute;5 910
Ahlaf;11 451
Ahmar Laglalcha;17 950
Ain Aicha;25 417
Ain Attig (Mun.);25 078
Ain Beida;11 978
Ain Bida;7 843
Ain Blal;4 699
Ain Bni Mathar (Mun.);16 289
Ain Bou Ali;12 282
Ain Chair;1 554
Ain Cheggag;20 456
Ain Chkef;54 477
Ain Chouater;1 006
Ain Dfali;24 241
Ain Dorbane-Lahlaf;8 120
Ain El Aouda (Mun.);49 816
Ain Erreggada (Mun.);2 694
Ain Harrouda (Mun.);62 420
Ain Jemaa;15 265
Ain Johra -Sidi Boukhalkhal;17 307
Ain Kaicher;4 609
Ain Kansra;12 291
Ain Karma- Oued Rommane;13 828
Ain Lahsan;6 742
Ain Legdah;11 422
Ain Lehjer;8 272
Ain Leuh;9 669
Ain Maatouf;10 104
Ain Mediouna;15 770
Ain Orma;3 495
Ain Sbit;11 051
Ain Sfa;4 490
Ain Taoujdate (Mun.);28 288
Ain Tazitounte;5 509
Ain Timguenai;6 519
Ain Tizgha;15 692
Ain Zohra;10 601
AŒn-Chock (Arrond.);377 744
AŒn-Sebaƒ (Arrond.);171 452
Ait Aadel;7 925
Ait Abbas;12 633
Ait Abdallah;2 086
Ait Aissi Ihahane;4 143
Ait Ali ou Lahcen;5 128
Ait Amira;76 646
Ait Ammar;4 260
Ait Ayach;11 946
Ait Baha (Mun.);5 668
Ait Bazza;2 955
Ait Belkacem;4 466
Ait Ben Yacoub;4 012
Ait Blal;7 770
Ait Bou Oulli;11 095
Ait Boubidmane;19 501
Ait Boudaoud;5 439
Ait Boufoulen;1 045
Ait Bourzouine;8 289
Ait Buyahya El Hajjama;4 471
Ait Daoud (Mun.);2 957
Ait El Farsi;5 754
Ait El Mane;1 927
Ait Erkha;5 112
Ait Faska;26 210
Ait Haddou Youssef;6 263
Ait Hadi;7 431
Ait Hammou;7 548
Ait Hani;10 587
Ait Harz Allah;13 555
Ait Hkim-Ait Yzid;8 812
Ait Iaaza (Mun.);14 259
Ait Ichou;1 809
Ait Igas;10 256
Ait Ikkou;8 865
Ait Imour;14 544
Ait Ishaq;19 133
Ait Issafen;3 293
Ait Izdeg;6 819
Ait Kamra;7 685
Ait Mait;5 613
Ait Majden;17 572
Ait Makhlouf;4 752
Ait Malek;4 856
Ait Mazigh;3 330
Ait Melloul (Mun.);171 847
Ait M'Hamed;23 696
Ait Milk;10 370
Ait Mimoune;8 486
Ait Mzal;3 814
Ait Naamane;6 307
Ait Ouaarda;1 644
Ait Ouabelli;2 401
Ait Ouadrim;5 817
Ait Ouafqa;4 210
Ait Ouallal;5 330
Ait Ouallal;11 224
Ait Ouassif;8 246
Ait Ouikhalfen;3 849
Ait Oum El Bekht;8 198
Ait Oumdis;15 408
Ait Ouqabli;3 298
Ait Ouribel;9 640
Ait Ourir (Mun.);39 108
Ait Saadelli;2 540
Ait Saghrouchen;16 085
Ait Said;6 819
